nama_spklu,periode_data,owner_operator,lokasi,jumlah_unit,teknologi
"SPKLU HVT REST AREA KM 10.6 TOL JAGORAWI",2025,"PT HIGH VOLT TECHNOLOGY","REST AREA TOL JAGORAWI KM 10.6, CIPAYUNG, JAKARTA TIMUR",6,"ULTRA FAST CHARGING"
"SPKLU KFC JALAN PANJANG",2025,"AGRA SURYA ENERGI","JL. PANJANG ARTERI KLP. DUA RAYA, KEBUN JERUK, JAKARTA BARAT",1,"MEDIUM CHARGING"
"SPKLU BRILIAN 1",2025,PLN,"JL. JENDERAL SUDIRMAN NO.14, BENDUNGAN HILIR, TANAH ABANG, JAKARTA PUSAT",1,"MEDIUM CHARGING"
"SPKLU BRILIAN 1",2025,BRI,"JL. JENDERAL SUDIRMAN NO.14, BENDUNGAN HILIR, TANAH ABANG, JAKARTA PUSAT",1,"FAST CHARGING"
"SPKLU SUMMIT MAS",2025,PLN,"JL. JENDERAL SUDIRMAN NO.KAV. 61-62, SENAYAN, KEBAYORAN BARU, JAKARTA SELATAN, DKI JAKARTA",1,"FAST CHARGING"
"SPKLU PLN PUSLITBANG",2025,PLN,"JL. DUREN TIGA RAYA NO.102, DUREN TIGA, PANCORAN, JAKARTA SELATAN, DKI JAKARTA 12760",1,"FAST CHARGING"
"SPKLU POOL DAMRI KEMAYORAN",2025,DAMRI-TEB,"JL. KRAN RAYA GG. 6 NO.01-20, GN. SAHARI SELATAN, KEMAYORAN, JAKARTA PUSAT, DKI JAKARTA",1,"ULTRA FAST CHARGING"
"SPKLU TMII (TAMAN MINI INDONESIA INDAH)",2025,PLN,"JL. RAYA TAMAN MINI, CEGER, CIPAYUNG, JAKARTA TIMUR, DKI JAKARTA 13820",1,"ULTRA FAST CHARGING"
"SPKLU GEDUNG KEMENTRIAN BUMN",2025,PLN,"JL. MEDAN MERDEKA SEL. NO.13, RT.11/RW.2, GAMBIR, JAKARTA PUSAT, DKI JAKARTA 10110",1,"FAST CHARGING"
"SPKLU APARTEMEN L'AVENUE FC",2025,PLN,"JL. RAYA PASAR MINGGU NO.KAV.16, RT.7/RW.9, PANCORAN, JAKARTA SELATAN, DKI JAKARTA 12780",1,"FAST CHARGING"
"SPKLU BTN TOWER",2025,BTN,"MENARA BANK BTN, JL. GAJAH MADA NO.1, GAMBIR, JAKARTA PUSAT, DKI JAKARTA 10110",1,"MEDIUM CHARGING"
"SPKLU BTN TOWER",2025,BTN,"MENARA BANK BTN, JL. GAJAH MADA NO.1, GAMBIR, JAKARTA PUSAT, DKI JAKARTA 10110",1,"FAST CHARGING"
"SPKLU PT ASURANSI RAMAYANA TBK (CLAIM CENTER)",2025,RAMAYANA,"JL. SURYOPRANOTO, RT.2/RW.8, GAMBIR, JAKARTA PUSAT, DKI JAKARTA 10130",1,"MEDIUM CHARGING"
"SPKLU PT ASURANSI RAMAYANA TBK (CLAIM CENTER)",2025,RAMAYANA,"JL. SURYOPRANOTO, RT.2/RW.8, GAMBIR, JAKARTA PUSAT, DKI JAKARTA 10130",1,"FAST CHARGING"
"SPKLU PT INDOMOBIL TRADA NASIONAL",2025,PLN,"JL. PANTAI INDAH SELATAN NO.1, PENJARINGAN, JAKARTA UTARA, DKI JAKARTA 14460",2,"MEDIUM CHARGING"
"SPKLU PT INDOMOBIL TRADA NASIONAL",2025,ARISTA,"JL. PANTAI INDAH SELATAN NO.1, PENJARINGAN, JAKARTA UTARA, DKI JAKARTA 14460",1,"FAST CHARGING"
"SPKLU PLN UP3 MARUNDA",2025,PLN,"JL SEMPER BARAT NO 1 JAKARTA UTARA",1,"MEDIUM CHARGING"
"SPKLU PLN UP3 KRAMAT JATI",2025,PLN,"JL RAYA BOGOR NO 20 KRAMAT JATI JAKARTA TIMUR",1,"FAST CHARGING"
"SPKLU PLN UP3 CIRACAS",2025,PLN,"JL CENTEX NO 1, CIRACAS, JAKARTA TIMUR, DKI JAKARTA 137407",1,"MEDIUM CHARGING"
"SPKLU ISTANA NEGARA",2025,PLN,"JL VETERAN, JAKARTA PUSAT, DKI JAKARTA",1,"MEDIUM CHARGING"
"SPKLU ISTANA NEGARA",2025,PLN,"JL VETERAN, JAKARTA PUSAT, DKI JAKARTA",1,"ULTRA FAST CHARGING"
"SPKLU DOPA COFFEE STUDIO",2025,"DOPA COFFEE","JL. SENOPATI NO.113, RT.8/RW.3, SENAYAN, JAKARTA SELATAN, DKI JAKARTA 12110",2,"MEDIUM CHARGING"
"SPKLU PLN UP3 CENGKARENG",2025,PLN,"JL PETA SELATAN NO.39, CENGKARENG, JAKARTA BARAT, DKI JAKARTA 11750",1,"MEDIUM CHARGING"
"SPKLU PLN UP3 CENGKARENG",2025,PLN,"JL PETA SELATAN NO.39, CENGKARENG, JAKARTA BARAT, DKI JAKARTA 11750",1,"FAST CHARGING"
"SPKLU BANDARA HALIM PERDANA KUSUMA",2025,PLN,"JL. HALIM PERDANA KUSUMA, HALIM PERDANA KUSUMAH, KEC. MAKASAR, KOTA JAKARTA TIMUR, DKI JAKARTA 13610",1,"ULTRA FAST CHARGING"
"SPKLU BPKP (BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN)",2025,PLN,"JL. PRAMUKA NO.33, RT.10/RW.8, UTAN KAYU UTARA, KEC. MATRAMAN, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13120",1,"FAST CHARGING"
"SPKLU YASPORBI",2025,PLN,"JL. RASAMALA RAYA NO.2, MENTENG DALAM, KEC. TEBET, KOTA JAKARTA SELATAN, DKI JAKARTA 12870",1,"MEDIUM CHARGING"
"SPKLU PLN ENJINIRING",2025,PLN,"JL. KS TUBUN I NO.2, JAKARTA BARAT, DKI JAKARTA 11420",1,"MEDIUM CHARGING"
"SPKLU PLN ENJINIRING",2025,PLN,"JL. KS TUBUN I NO.2, JAKARTA BARAT, DKI JAKARTA 11420",1,"FAST CHARGING"
"SPKLU (ARISTA POWER) BYD TEBET",2025,ARISTA,"JL DR SUHARJO NO 246 SALURAN AIR, TEBET, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",1,"ULTRA FAST CHARGING"
"SPKLU (ARISTA POWER) NETA TEBET",2025,ARISTA,"JL DR SUHARJO NO 187 MANGGARAI TEBET, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12860",1,"ULTRA FAST CHARGING"
"SPKLU (ARISTA POWER) BYD SUNTER",2025,ARISTA,"JL DANAU SUNTER SELATAN, SUNTER JAYA, KEC. TJ. PRIOK, JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA 14350",2,"ULTRA FAST CHARGING"
"SPKLU (ARISTA POWER) BYD KALIMALANG",2025,ARISTA,"JL RAYA KALIMALANG NO 38 DUREN SAWIT, KEC. DUREN SAWIT, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13440",1,"ULTRA FAST CHARGING"
"SPKLU PT PLN ICON PLUS CAWANG",2025,PLN,"KAWASAN PLN CAWANG JALAN MAYJEN SUTOYO NO 1 CILILITAN, KRAMAT JATI, JAKARTA TIMUR, DKI JAKARTA 13640",1,"MEDIUM CHARGING"
"SPKLU HVT HARCO MANGGA DUA",2025,"PT HIGH VOLT TECHNOLOGY","MARCO MANGGA DUA, ANCOL, KEC. PADEMANGAN, JAKARTA UTARA, DKI JAKARTA 14430",1,"FAST CHARGING"
